esempio2
32,94638131
35,05314733
37,22823244
42,86513536
44,62220005
41,36901181
42,93951946
42,8927732
34,79841451
33,85246505
27,55786678
30,2322229
26,31997414
24,50100537
19,56498999
25,68826056
24,47664919
25,77310876
25,86583634
34,42999251
33,76128399
38,9023959
43,01201746
41,09817731
41,57778896
38,91415522
37,89233181
36,54942565
33,93252042
24,0246727
20,80291991
17,46601208
18,47355328
17,79830809
21,36094697
17,13542904
22,45934265
27,27327576
27,49770684
36,52641287
32,80982856
35,12781768
36,1654508
29,24741787
35,09589973
27,38448097
25,02652248
18,28556742
14,9458333
11,19276354
15,35084699
10,86311862
13,50830729
11,82196119
8,684610434
11,7293205
17,98356827
20,95368269
22,0132379
24,78736201
27,56881894
28,59342246
26,1090471
27,54881646
28,6405791
21,53602803
21,38281042
16,56859919
11,73589607
9,570862532
6,205619745
12,29976404
12,29119139
13,39496167
14,80177926
16,86067291
16,93131265
26,339422
32,14067648
30,29616364
30,22700885
31,40194201
31,42663164
30,8123109
26,01010958
19,83900251
20,6831558
18,9774165
21,47455231
15,76850595
18,40938116
21,63423751
20,68416369
25,89145507
30,96730758
31,90026967
41,4327964
38,49936986
42,83033133
40,30030692
48,99866521
48,02271449
44,11497242
42,41688071
39,52188135
35,21322775
35,69043058
36,26008318
38,8481907
36,46050158
37,72478697
44,63030136
45,72380454
48,4317209
59,38225385
60,2937978
63,23048673
66,66972077
66,95128286
71,1566466
71,37124727
65,56623503
61,72487213
60,53170901
61,66279962
59,8034974
57,13768734
60,73517926
56,60351204
59,79938525
62,9688995
69,79255203
75,02856147
78,77599326
80,63051764
87,97517159
84,73726553
86,17567142
90,02917434
87,59354735
86,10170609
85,13599083
80,75436547
82,2639945
71,45546633
78,12505945
78,07734211
75,62649432
75,66253688
80,85760042
84,83476858
91,68739297
92,98625683
94,62329965
100,7983444
102,7869863
105,6233953
102,841473
98,15339263
100,1525735
94,26123012
91,69217436
89,36155662
89,60371718
86,79964765
83,19416704
82,4012931
85,40289527
83,21608217
95,26855249
98,31274217
101,0750731
102,2856659
105,0395937
107,3775465
101,5747701
102,998452
99,49112985
98,86293364
97,68909001
94,74298611
87,05719971
84,74033283
83,4527415
83,48054874
84,74853083
82,25618188
91,12038338
88,02096238
90,17063391
94,29262111
96,87903763
99,25760642
102,0662626
97,69092606
95,10562514
93,81235163
92,20893629
84,95774124
84,81913832
